Period,Position,Seniority,Global_exp,Local_exp,Salary
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,8 років,3850
2021_H1,"Analyst (Business, Data, System)",Junior,"1,5 року",Менше як 3 місяці,1400
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,4 роки,3300
2021_H1,"Analyst (Business, Data, System)",Junior,Пів року,Пів року,1100
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,1 рік,2850
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,8 років,2800
2021_H1,"Analyst (Business, Data, System)",Junior,Пів року,Пів року,400
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,2 роки,1850
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,3 роки,4000
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,Менше як 3 місяці,2700
2021_H1,"Analyst (Business, Data, System)",Junior,"1,5 року","1,5 року",1100
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,1 рік,3050
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,Менше як 3 місяці,1800
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,2 роки,2500
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,1 рік,2000
2021_H1,"Analyst (Business, Data, System)",Junior,3 місяці,6 років,1691
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,3 роки,1425
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,Менше як 3 місяці,3000
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,1 рік,2500
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,3 роки,1700
2021_H1,"Analyst (Business, Data, System)",Junior,"1,5 року",Пів року,1200
2021_H1,"Analyst (Business, Data, System)",Junior,"1,5 року",3 роки,1500
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,3 місяці,1600
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,2 роки,1350
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,4 роки,900
2021_H1,"Analyst (Business, Data, System)",Middle,5 років,3 роки,1450
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,1 рік,1660
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,2 роки,2100
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,Менше як 3 місяці,2125
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,"1,5 року",1270
2021_H1,"Analyst (Business, Data, System)",Lead,9 років,"1,5 року",3500
2021_H1,"Analyst (Business, Data, System)",Lead,9 років,4 роки,3325
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,5 років,500
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,"1,5 року",2000
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,2 роки,600
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,3 роки,2500
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,Пів року,1400
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,Пів року,3500
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,2 роки,800
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,3 місяці,4200
2021_H1,"Analyst (Business, Data, System)",Junior,Менше як 3 місяці,Менше як 3 місяці,500
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,6 років,900
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,1 рік,3800
2021_H1,"Analyst (Business, Data, System)",Junior,3 місяці,3 місяці,1000
2021_H1,"Analyst (Business, Data, System)",Senior,7 років,1 рік,5200
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,"1,5 року",2750
2021_H1,"Analyst (Business, Data, System)",Junior,3 місяці,3 місяці,780
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,2 роки,2000
2021_H1,"Analyst (Business, Data, System)",Junior,Менше як 3 місяці,Менше як 3 місяці,300
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,8 років,15000
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,Пів року,1250
2021_H1,"Analyst (Business, Data, System)",Junior,"1,5 року","1,5 року",1700
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,"1,5 року",1150
2021_H1,"Analyst (Business, Data, System)",Junior,Пів року,Пів року,1200
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,2 роки,3300
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,Менше як 3 місяці,2500
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,3 роки,3000
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,1 рік,950
2021_H1,"Analyst (Business, Data, System)",Junior,"1,5 року","1,5 року",1200
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,3 роки,3500
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,7 років,4000
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,2 роки,3000
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,2 роки,1030
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,2 роки,3500
2021_H1,"Analyst (Business, Data, System)",Senior,7 років,Пів року,750
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,3 роки,1800
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,3 місяці,2500
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,2 роки,3100
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,3 роки,1200
2021_H1,"Analyst (Business, Data, System)",Senior,7 років,2 роки,2900
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,7 років,4200
2021_H1,"Analyst (Business, Data, System)",Junior,Пів року,Пів року,800
2021_H1,"Analyst (Business, Data, System)",Junior,"1,5 року",1 рік,1400
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,3 місяці,3000
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,2 роки,1200
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,Пів року,1400
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,2 роки,850
2021_H1,"Analyst (Business, Data, System)",Senior,7 років,7 років,2600
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,Пів року,700
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,1 рік,2500
2021_H1,"Analyst (Business, Data, System)",Senior,7 років,3 роки,3700
2021_H1,"Analyst (Business, Data, System)",Middle,5 років,3 місяці,3250
2021_H1,"Analyst (Business, Data, System)",Junior,"1,5 року","1,5 року",1500
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,6 років,3300
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,Менше як 3 місяці,1240
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,8 років,1100
2021_H1,"Analyst (Business, Data, System)",Senior,7 років,3 місяці,4000
2021_H1,"Analyst (Business, Data, System)",Middle,5 років,Менше як 3 місяці,3700
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,Менше як 3 місяці,1450
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,Пів року,1800
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,Пів року,600
2021_H1,"Analyst (Business, Data, System)",Junior,3 місяці,3 місяці,1500
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,Менше як 3 місяці,3000
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,Пів року,2000
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,2 роки,2500
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,1 рік,500
2021_H1,"Analyst (Business, Data, System)",Junior,Менше як 3 місяці,Менше як 3 місяці,1200
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,Пів року,600
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,4 роки,3000
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,2 роки,1400
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,1 рік,2100
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,7 років,1450
2021_H1,"Analyst (Business, Data, System)",Senior,7 років,7 років,2500
2021_H1,"Analyst (Business, Data, System)",Junior,Пів року,Пів року,2900
2021_H1,"Analyst (Business, Data, System)",Lead,9 років,3 місяці,3000
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,Менше як 3 місяці,1200
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,3 роки,4500
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,3 роки,4800
2021_H1,"Analyst (Business, Data, System)",Senior,7 років,2 роки,3700
2021_H1,"Analyst (Business, Data, System)",Senior,7 років,3 роки,2900
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,1 рік,650
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,Пів року,4000
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,1 рік,1800
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,2 роки,800
2021_H1,"Analyst (Business, Data, System)",Junior,Менше як 3 місяці,Менше як 3 місяці,1090
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,"1,5 року",1600
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,1 рік,1600
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,Менше як 3 місяці,500
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,1 рік,3600
2021_H1,"Analyst (Business, Data, System)",Junior,3 місяці,3 місяці,1400
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,1 рік,1200
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,1 рік,2400
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,1 рік,1500
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,4 роки,2300
2021_H1,"Analyst (Business, Data, System)",Middle,5 років,2 роки,3000
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,1 рік,2540
2021_H1,"Analyst (Business, Data, System)",Junior,Менше як 3 місяці,Менше як 3 місяці,500
2021_H1,"Analyst (Business, Data, System)",Junior,Менше як 3 місяці,Менше як 3 місяці,500
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,2 роки,4700
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,5 років,3200
2021_H1,"Analyst (Business, Data, System)",Senior,7 років,6 років,4500
2021_H1,"Analyst (Business, Data, System)",Middle,5 років,3 роки,3500
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,3 роки,1110
2021_H1,"Analyst (Business, Data, System)",Junior,3 місяці,3 місяці,350
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,Менше як 3 місяці,2600
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,3 місяці,2300
2021_H1,"Analyst (Business, Data, System)",Senior,7 років,3 роки,1600
2021_H1,"Analyst (Business, Data, System)",Junior,Менше як 3 місяці,Менше як 3 місяці,1500
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,3 місяці,1600
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,2 роки,2300
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,Пів року,2000
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,5 років,1850
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,2 роки,3500
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,Менше як 3 місяці,3500
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,4 роки,1050
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,3 роки,1070
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,Менше як 3 місяці,1000
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,2 роки,2250
2021_H1,"Analyst (Business, Data, System)",Junior,"1,5 року",Менше як 3 місяці,1100
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,"1,5 року",1500
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,1 рік,1300
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,Менше як 3 місяці,1900
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,3 роки,1150
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,"1,5 року",2800
2021_H1,"Analyst (Business, Data, System)",Junior,Менше як 3 місяці,Менше як 3 місяці,700
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,"1,5 року",1450
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,4 роки,3200
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,2 роки,1550
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,2 роки,1300
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,5 років,3000
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,8 років,3000
2021_H1,"Analyst (Business, Data, System)",Junior,"1,5 року",Пів року,900
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,Менше як 3 місяці,5500
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,2 роки,1250
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,3 роки,1350
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,4 роки,4000
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,1 рік,4000
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,4 роки,1300
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,5 років,3300
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,3 роки,1400
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,8 років,3000
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,1 рік,1300
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,"1,5 року",2330
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,3 роки,1600
2021_H1,"Analyst (Business, Data, System)",Junior,Пів року,Пів року,650
2021_H1,"Analyst (Business, Data, System)",Junior,Менше як 3 місяці,Менше як 3 місяці,1400
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,Менше як 3 місяці,4000
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,1 рік,2200
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,Менше як 3 місяці,1300
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,2 роки,2000
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,"1,5 року",1200
2021_H1,"Analyst (Business, Data, System)",Junior,Пів року,Пів року,515
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,"1,5 року",2800
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,"1,5 року",1700
2021_H1,"Analyst (Business, Data, System)",Junior,Менше як 3 місяці,Менше як 3 місяці,700
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,Менше як 3 місяці,1500
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,Пів року,617
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,Менше як 3 місяці,6030
2021_H1,"Analyst (Business, Data, System)",Middle,5 років,Менше як 3 місяці,1500
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,3 місяці,2200
2021_H1,"Analyst (Business, Data, System)",Senior,7 років,2 роки,2250
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,5 років,2000
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,3 роки,6000
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,3 роки,2500
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,2 роки,2500
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,1 рік,1200
2021_H1,"Analyst (Business, Data, System)",Senior,7 років,Менше як 3 місяці,3250
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,2 роки,2150
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,Менше як 3 місяці,3300
2021_H1,"Analyst (Business, Data, System)",Middle,5 років,5 років,3380
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,Пів року,3500
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,1 рік,5300
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,1 рік,2500
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,Пів року,2000
2021_H1,"Analyst (Business, Data, System)",Junior,Менше як 3 місяці,Менше як 3 місяці,1000
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,7 років,3700
2021_H1,"Analyst (Business, Data, System)",Senior,7 років,7 років,1944
2021_H1,"Analyst (Business, Data, System)",Junior,Пів року,Менше як 3 місяці,550
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,Пів року,1500
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,9 років,5600
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,3 місяці,3000
2021_H1,"Analyst (Business, Data, System)",Middle,5 років,2 роки,1350
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,2 роки,3000
2021_H1,"Analyst (Business, Data, System)",Middle,5 років,3 місяці,2600
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,Пів року,2000
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,1 рік,4700
2021_H1,"Analyst (Business, Data, System)",Junior,Пів року,Пів року,1650
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,5 років,4700
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,3 роки,4000
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,8 років,3500
2021_H1,"Analyst (Business, Data, System)",Middle,5 років,2 роки,3100
2021_H1,"Analyst (Business, Data, System)",Junior,Менше як 3 місяці,Менше як 3 місяці,750
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,3 місяці,500
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,1 рік,1250
2021_H1,"Analyst (Business, Data, System)",Middle,4 роки,Пів року,2560
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,Пів року,4500
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,2 роки,1600
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,Пів року,2500
2021_H1,"Analyst (Business, Data, System)",Senior,6 років,Пів року,2000
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,2 роки,2000
2021_H1,"Analyst (Business, Data, System)",Middle,5 років,"1,5 року",3600
2021_H1,"Analyst (Business, Data, System)",Junior,1 рік,1 рік,1500
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,3 роки,4000
2021_H1,"Analyst (Business, Data, System)",Lead,10 і більше років,3 роки,2000
2021_H1,"Analyst (Business, Data, System)",Middle,5 років,Менше як 3 місяці,3000
2021_H1,"Analyst (Business, Data, System)",Lead,9 років,5 років,2900
2021_H1,"Analyst (Business, Data, System)",Lead,8 років,4 роки,3300
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,3 роки,1000
2021_H1,"Analyst (Business, Data, System)",Middle,5 років,Пів року,2500
2021_H1,"Analyst (Business, Data, System)",Middle,3 роки,1 рік,1700
2021_H1,"Analyst (Business, Data, System)",Junior,Пів року,Пів року,480
2021_H1,"Analyst (Business, Data, System)",Middle,2 роки,2 роки,1710
2021_H1,"Analyst (Business, Data, System)",Junior,Пів року,Пів року,350
2021_H1,"Analyst (Business, Data, System)",Lead,9 років,3 роки,3800
2021_H2,"Analyst (Business, Data, System)",Middle,5 років,,1300
2021_H2,"Analyst (Business, Data, System)",Senior,6 років,,3600
2021_H2,"Analyst (Business, Data, System)",Middle,4 роки,,1600
2021_H2,"Analyst (Business, Data, System)",Lead,8 років,,4500
2021_H2,"Analyst (Business, Data, System)",Senior,7 років,,3300
2021_H2,"Analyst (Business, Data, System)",Lead,10 і більше років,,3000
2021_H2,"Analyst (Business, Data, System)",Middle,5 років,,2500
2021_H2,"Analyst (Business, Data, System)",Middle,2 роки,,1500
2021_H2,"Analyst (Business, Data, System)",Middle,2 роки,,2000
2021_H2,"Analyst (Business, Data, System)",Junior,"1,5 року",,2300
2021_H2,"Analyst (Business, Data, System)",Junior,"1,5 року",,930
2021_H2,"Analyst (Business, Data, System)",Lead,8 років,,2500
2021_H2,"Analyst (Business, Data, System)",Junior,"1,5 року",,2470
2021_H2,"Analyst (Business, Data, System)",Middle,2 роки,,2600
2021_H2,"Analyst (Business, Data, System)",Middle,2 роки,,2500
2021_H2,"Analyst (Business, Data, System)",Junior,3 місяці,,800
2021_H2,"Analyst (Business, Data, System)",Middle,2 роки,,2400
2021_H2,"Analyst (Business, Data, System)",Senior,7 років,,3270
2021_H2,"Analyst (Business, Data, System)",Lead,10 і більше років,,2800
2021_H2,"Analyst (Business, Data, System)",Middle,4 роки,,3500
2021_H2,"Analyst (Business, Data, System)",Lead,9 років,,5200
2021_H2,"Analyst (Business, Data, System)",Junior,3 місяці,,1400
2021_H2,"Analyst (Business, Data, System)",Middle,2 роки,,500
2021_H2,"Analyst (Business, Data, System)",Middle,4 роки,,1100
2021_H2,"Analyst (Business, Data, System)",Middle,2 роки,,1600
2021_H2,"Analyst (Business, Data, System)",Lead,8 років,,1300
2021_H2,"Analyst (Business, Data, System)",Middle,2 роки,,2500
2021_H2,"Analyst (Business, Data, System)",Middle,5 років,,4000
2021_H2,"Analyst (Business, Data, System)",Lead,10 і більше років,,3060
