Period,Position,Seniority,Global_exp,Local_exp,Salary,GDP
2015.12,Business analyst,Middle,5,5,2400,2094.47387695313
2015.12,Business analyst,Middle,2,1,260,2094.47387695313
2015.12,Business analyst,Middle,3,3,1500,2094.47387695313
2015.12,Business analyst,Middle,2,2,400,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,417,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,6,1000,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,5,1000,2094.47387695313
2015.12,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,350,2094.47387695313
2015.12,Business analyst,Middle,5,3,3750,2094.47387695313
2015.12,Business analyst,Junior,1,0.25,1800,2094.47387695313
2015.12,Business analyst,Middle,4,3,1400,2094.47387695313
2015.12,Business analyst,Middle,2,меньше 3 месяцев,1600,2094.47387695313
2015.12,Business analyst,Middle,5,0.25,1600,2094.47387695313
2015.12,Business analyst,Middle,2,0.25,1620,2094.47387695313
2015.12,Business analyst,Middle,4,1,1800,2094.47387695313
2015.12,Business analyst,Middle,3,0.25,3500,2094.47387695313
2015.12,Business analyst,Middle,3,3,1450,2094.47387695313
2015.12,Business analyst,Middle,2,0.5,2430,2094.47387695313
2015.12,Business analyst,Junior,1.5,1,1700,2094.47387695313
2015.12,Business analyst,Middle,3,3,400,2094.47387695313
2015.12,Business analyst,Middle,3,меньше 3 месяцев,3500,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,2200,2094.47387695313
2015.12,Business analyst,Middle,2,0.5,2200,2094.47387695313
2015.12,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,200,2094.47387695313
2015.12,Business analyst,Middle,5,1,100,2094.47387695313
2015.12,Business analyst,Senior,6,1.5,3000,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,0.25,3000,2094.47387695313
2015.12,Business analyst,Junior,1,меньше 3 месяцев,3220,2094.47387695313
2015.12,Business analyst,Middle,5,1,1200,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,3,2500,2094.47387695313
2015.12,Business analyst,Middle,5,0.5,2000,2094.47387695313
2015.12,Business analyst,Junior,0.5,0.5,800,2094.47387695313
2015.12,Business analyst,Junior,1,1,700,2094.47387695313
2015.12,Business analyst,Middle,5,2,900,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,1500,2094.47387695313
2015.12,Business analyst,Senior,7,1,3300,2094.47387695313
2015.12,Business analyst,Middle,3,3,2400,2094.47387695313
2015.12,Business analyst,Junior,0.5,0.5,1000,2094.47387695313
2015.12,Business analyst,Lead,8,1,2300,2094.47387695313
2015.12,Business analyst,Senior,7,7,2900,2094.47387695313
2015.12,Business analyst,Middle,2,2,1400,2094.47387695313
2015.12,Business analyst,Junior,1,1,500,2094.47387695313
2015.12,Business analyst,Lead,9,2,2500,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,6,2800,2094.47387695313
2015.12,Business analyst,Middle,2,1,1000,2094.47387695313
2015.12,Business analyst,Middle,3,меньше 3 месяцев,1500,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,2350,2094.47387695313
2015.12,Business analyst,Junior,0.5,0.5,2100,2094.47387695313
2015.12,Business analyst,Junior,1.5,0.5,1000,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,0.5,2750,2094.47387695313
2015.12,Business analyst,Senior,6,0.5,2500,2094.47387695313
2015.12,Business analyst,Middle,4,3,2700,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,3000,2094.47387695313
2015.12,Business analyst,Junior,0.5,меньше 3 месяцев,1300,2094.47387695313
2015.12,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,600,2094.47387695313
2015.12,Business analyst,Senior,7,0.5,2000,2094.47387695313
2015.12,Business analyst,Junior,0.25,2,900,2094.47387695313
2015.12,Business analyst,Middle,5,0.25,800,2094.47387695313
2015.12,Business analyst,Middle,2,2,800,2094.47387695313
2015.12,Business analyst,Middle,5,5,440,2094.47387695313
2015.12,Business analyst,Middle,5,3,420,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,0.5,550,2094.47387695313
2015.12,Business analyst,Junior,1,1,1500,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,10 и более лет,1000,2094.47387695313
2015.12,Business analyst,Senior,6,1,2000,2094.47387695313
2015.12,Business analyst,Junior,1,1,760,2094.47387695313
2015.12,Business analyst,Middle,5,1.5,2000,2094.47387695313
2015.12,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,500,2094.47387695313
2015.12,Business analyst,Junior,0.25,0.25,900,2094.47387695313
2015.12,Business analyst,Junior,1.5,меньше 3 месяцев,1600,2094.47387695313
2015.12,Business analyst,Middle,2,2,2500,2094.47387695313
2015.12,Business analyst,Junior,0.5,0.5,720,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,1,3000,2094.47387695313
2015.12,Business analyst,Senior,7,3,1000,2094.47387695313
2015.12,Business analyst,Junior,0.5,0.5,1500,2094.47387695313
2015.12,Business analyst,Middle,3,1,1960,2094.47387695313
2015.12,Business analyst,Middle,5,1,2500,2094.47387695313
2015.12,Business analyst,Junior,1.5,1.5,1300,2094.47387695313
2015.12,Business analyst,Junior,1,1,1500,2094.47387695313
2015.12,Business analyst,Middle,3,3,1400,2094.47387695313
2015.12,Business analyst,Middle,2,2,2300,2094.47387695313
2015.12,Business analyst,Middle,3,меньше 3 месяцев,700,2094.47387695313
2015.12,Business analyst,Middle,2,2,1000,2094.47387695313
2015.12,Business analyst,Junior,1,1,450,2094.47387695313
2015.12,Business analyst,Middle,4,меньше 3 месяцев,2500,2094.47387695313
2015.12,Business analyst,Middle,3,0.25,2400,2094.47387695313
2015.12,Business analyst,Junior,0.5,0.5,400,2094.47387695313
2015.12,Business analyst,Junior,1.5,0.5,1920,2094.47387695313
2015.12,Business analyst,Junior,1.5,1.5,160,2094.47387695313
2015.12,Business analyst,Junior,0.25,0.25,300,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,2100,2094.47387695313
2015.12,Business analyst,Middle,4,3,3500,2094.47387695313
2015.12,Business analyst,Junior,1.5,меньше 3 месяцев,500,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,1700,2094.47387695313
2015.12,Business analyst,Senior,7,3,2365,2094.47387695313
2015.12,Business analyst,Junior,0.5,2,1200,2094.47387695313
2015.12,Business analyst,Middle,2,2,607,2094.47387695313
2015.12,Business analyst,Junior,0.25,меньше 3 месяцев,150,2094.47387695313
2015.12,Business analyst,Middle,5,1.5,2327,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,700,2094.47387695313
2015.12,Business analyst,Junior,0.5,0.5,1000,2094.47387695313
2015.12,Business analyst,Middle,4,2,1500,2094.47387695313
2015.12,Business analyst,Middle,3,0.5,1800,2094.47387695313
2015.12,Business analyst,Lead,8,8,3000,2094.47387695313
2015.12,Business analyst,Junior,0.25,0.25,700,2094.47387695313
2015.12,Business analyst,Lead,8,1,2688,2094.47387695313
2015.12,Business analyst,Junior,0.25,0.25,1900,2094.47387695313
2015.12,Business analyst,Senior,6,3,3100,2094.47387695313
2015.12,Business analyst,Junior,1.5,1.5,900,2094.47387695313
2015.12,Business analyst,Middle,5,1.5,2300,2094.47387695313
2015.12,Business analyst,Middle,2,1,370,2094.47387695313
2015.12,Business analyst,Middle,5,2,2800,2094.47387695313
2015.12,Business analyst,Middle,2,1,680,2094.47387695313
2015.12,Business analyst,Lead,8,меньше 3 месяцев,2800,2094.47387695313
2015.12,Business analyst,Lead,9,2,3000,2094.47387695313
2015.12,Business analyst,Middle,5,1,1600,2094.47387695313
2015.12,Business analyst,Middle,2,0.5,640,2094.47387695313
2015.12,Business analyst,Middle,2,1,1400,2094.47387695313
2015.12,Business analyst,Middle,3,2,1700,2094.47387695313
2015.12,Business analyst,Senior,7,2,3500,2094.47387695313
2015.12,Business analyst,Senior,6,3,900,2094.47387695313
2015.12,Business analyst,Middle,2,2,800,2094.47387695313
2015.12,Business analyst,Middle,4,1,2000,2094.47387695313
2015.12,Business analyst,Junior,1,1,1500,2094.47387695313
2015.12,Business analyst,Middle,5,0.5,2000,2094.47387695313
2015.12,Business analyst,Middle,3,2,1000,2094.47387695313
2015.12,Business analyst,Junior,0.5,0.5,1400,2094.47387695313
2015.12,Business analyst,Middle,2,меньше 3 месяцев,1500,2094.47387695313
2015.12,Business analyst,Middle,3,3,1700,2094.47387695313
2015.12,Business analyst,Middle,5,0.25,1600,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,0.5,900,2094.47387695313
2015.12,Business analyst,Senior,7,меньше 3 месяцев,3000,2094.47387695313
2015.12,Business analyst,Middle,4,1,2000,2094.47387695313
2015.12,Business analyst,Junior,1,0.25,1400,2094.47387695313
2015.12,Business analyst,Junior,1.5,1.5,1500,2094.47387695313
2015.12,Business analyst,Middle,3,2,1700,2094.47387695313
2015.12,Business analyst,Senior,6,1,2500,2094.47387695313
2015.12,Business analyst,Junior,1,0.5,750,2094.47387695313
2015.12,Business analyst,Lead,10 и более лет,2,4900,2094.47387695313
2015.12,Business analyst,Senior,7,3,3500,2094.47387695313
2015.12,Business analyst,Lead,8,0.5,3000,2094.47387695313
2016.06,Business analyst,Junior,1,1,700,2158.46118164063
2016.06,Business analyst,Junior,1,1,900,2158.46118164063
2016.06,Business analyst,Middle,3,3,400,2158.46118164063
2016.06,Business analyst,Junior,1.5,1.5,1700,2158.46118164063
2016.06,Business analyst,Junior,1,1,1500,2158.46118164063
2016.06,Business analyst,Lead,10 и более лет,3,2500,2158.46118164063
2016.06,Business analyst,Middle,3,1,2000,2158.46118164063
2016.06,Business analyst,Middle,5,0.5,3000,2158.46118164063
2016.06,Business analyst,Junior,1.5,0.5,1000,2158.46118164063
2016.06,Business analyst,Junior,0.25,0.25,1300,2158.46118164063
2016.06,Business analyst,Middle,3,1.5,1995,2158.46118164063
2016.06,Business analyst,Lead,9,1.5,2660,2158.46118164063
2016.06,Business analyst,Junior,0.5,0.5,2000,2158.46118164063
2016.06,Business analyst,Junior,1.5,0.5,800,2158.46118164063
2016.06,Business analyst,Senior,7,2,3200,2158.46118164063
2016.06,Business analyst,Middle,4,0.25,2000,2158.46118164063
2016.06,Business analyst,Middle,4,4,640,2158.46118164063
2016.06,Business analyst,Middle,4,4,2000,2158.46118164063
2016.06,Business analyst,Middle,3,3,1500,2158.46118164063
2016.06,Business analyst,Middle,2,2,800,2158.46118164063
2016.06,Business analyst,Senior,7,2,2000,2158.46118164063
2016.06,Business analyst,Middle,3,1,2500,2158.46118164063
2016.06,Business analyst,Middle,4,3,2500,2158.46118164063
2016.06,Business analyst,Lead,10 и более лет,0.5,5000,2158.46118164063
2016.06,Business analyst,Lead,10 и более лет,1,3500,2158.46118164063
2016.06,Business analyst,Lead,10 и более лет,2,2900,2158.46118164063
2016.06,Business analyst,Middle,2,0.5,1500,2158.46118164063
2016.06,Business analyst,Middle,4,3,1200,2158.46118164063
2016.06,Business analyst,Lead,8,0.5,3800,2158.46118164063
2016.06,Business analyst,Middle,3,2,3000,2158.46118164063
2016.06,Business analyst,Senior,6,1,2500,2158.46118164063
2016.06,Business analyst,Middle,3,0.5,720,2158.46118164063
2016.06,Business analyst,Middle,3,меньше 3 месяцев,1200,2158.46118164063
2016.06,Business analyst,Middle,3,3,763,2158.46118164063
2016.06,Business analyst,Senior,6,4,2700,2158.46118164063
2016.06,Business analyst,Lead,10 и более лет,3,1000,2158.46118164063
2016.06,Business analyst,Junior,1,0.5,500,2158.46118164063
2016.06,Business analyst,Junior,1,1,650,2158.46118164063
2016.06,Business analyst,Junior,1,1,450,2158.46118164063
2016.06,Business analyst,Senior,6,6,600,2158.46118164063
2016.06,Business analyst,Middle,5,2,480,2158.46118164063
2016.06,Business analyst,Middle,3,3,1500,2158.46118164063
2016.06,Business analyst,Middle,5,0.5,2500,2158.46118164063
2016.06,Business analyst,Lead,9,1,1500,2158.46118164063
2016.06,Business analyst,Junior,1,1,490,2158.46118164063
2016.06,Business analyst,Junior,1.5,1.5,1500,2158.46118164063
2016.06,Business analyst,Middle,5,3,3100,2158.46118164063
2016.06,Business analyst,Lead,10 и более лет,2,1350,2158.46118164063
2016.06,Business analyst,Middle,3,0.25,950,2158.46118164063
2016.06,Business analyst,Middle,5,1,3000,2158.46118164063
2016.06,Business analyst,Middle,4,0.25,1400,2158.46118164063
2016.06,Business analyst,Middle,3,0.25,3000,2158.46118164063
2016.06,Business analyst,Middle,4,2,1200,2158.46118164063
2016.06,Business analyst,Lead,8,1,2500,2158.46118164063
2016.06,Business analyst,Middle,4,1.5,1700,2158.46118164063
2016.06,Business analyst,Lead,8,1.5,2422,2158.46118164063
2016.06,Business analyst,Lead,10 и более лет,1.5,2800,2158.46118164063
2016.06,Business analyst,Middle,5,1.5,2500,2158.46118164063
2016.06,Business analyst,Middle,2,2,1200,2158.46118164063
2016.06,Business analyst,Junior,1.5,1,500,2158.46118164063
2016.06,Business analyst,Middle,5,0.5,1500,2158.46118164063
2016.06,Business analyst,Junior,1.5,1,450,2158.46118164063
2016.06,Business analyst,Lead,10 и более лет,4,2750,2158.46118164063
2016.06,Business analyst,Middle,4,4,1100,2158.46118164063
2016.06,Business analyst,Middle,4,3,3500,2158.46118164063
2016.06,Business analyst,Middle,3,1,2300,2158.46118164063
2016.06,Business analyst,Middle,3,0.5,600,2158.46118164063
2016.06,Business analyst,Middle,2,2,700,2158.46118164063
2016.06,Business analyst,Junior,0.5,меньше 3 месяцев,1000,2158.46118164063
2016.06,Business analyst,Senior,7,7,2950,2158.46118164063
2016.06,Business analyst,Middle,2,2,1600,2158.46118164063
2016.06,Business analyst,Middle,4,3,1000,2158.46118164063
2016.06,Business analyst,Middle,4,меньше 3 месяцев,3400,2158.46118164063
2016.06,Business analyst,Junior,0.5,0.5,800,2158.46118164063
2016.06,Business analyst,Junior,1,1,300,2158.46118164063
2016.06,Business analyst,Lead,10 и более лет,3,800,2158.46118164063
2016.06,Business analyst,Junior,1.5,1.5,2000,2158.46118164063
2016.06,Business analyst,Middle,3,3,1600,2158.46118164063
2016.06,Business analyst,Junior,1.5,меньше 3 месяцев,1000,2158.46118164063
2016.06,Business analyst,Middle,2,2,500,2158.46118164063
2016.06,Business analyst,Lead,10 и более лет,3,600,2158.46118164063
2016.06,Business analyst,Middle,4,4,3560,2158.46118164063
2016.06,Business analyst,Middle,3,3,720,2158.46118164063
2016.06,Business analyst,Senior,7,1,3000,2158.46118164063
2016.06,Business analyst,Lead,8,5,400,2158.46118164063
2016.06,Business analyst,Junior,0.5,1,600,2158.46118164063
2016.06,Business analyst,Middle,3,1,1300,2158.46118164063
2016.06,Business analyst,Junior,0.5,0.5,400,2158.46118164063
2016.06,Business analyst,Middle,2,2,600,2158.46118164063
2016.06,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,250,2158.46118164063
2016.06,Business analyst,Junior,1.5,1.5,741,2158.46118164063
2016.06,Business analyst,Lead,10 и более лет,1,3000,2158.46118164063
2016.06,Business analyst,Middle,3,0.5,1500,2158.46118164063
2016.06,Business analyst,Middle,3,2,800,2158.46118164063
2016.06,Business analyst,Lead,10 и более лет,4,1000,2158.46118164063
2016.06,Business analyst,Senior,6,1,2000,2158.46118164063
2016.06,Business analyst,Senior,7,5,2000,2158.46118164063
2016.06,Business analyst,Middle,4,4,2400,2158.46118164063
2016.06,Business analyst,Lead,8,4,1000,2158.46118164063
2016.06,Business analyst,Middle,3,1.5,1000,2158.46118164063
2016.06,Business analyst,Middle,4,2,2500,2158.46118164063
2016.06,Business analyst,Middle,3,8,2500,2158.46118164063
2016.06,Business analyst,Lead,8,1,1500,2158.46118164063
2016.06,Business analyst,Middle,2,3,1330,2158.46118164063
2016.06,Business analyst,Middle,3,2,1700,2158.46118164063
2016.06,Business analyst,Lead,10 и более лет,3,2550,2158.46118164063
2016.06,Business analyst,Middle,2,1,2000,2158.46118164063
2016.06,Business analyst,Middle,4,меньше 3 месяцев,2000,2158.46118164063
2016.06,Business analyst,Lead,8,3,3400,2158.46118164063
2016.06,Business analyst,Middle,3,меньше 3 месяцев,2400,2158.46118164063
2016.06,Business analyst,Junior,1.5,1.5,1200,2158.46118164063
2016.06,Business analyst,Middle,4,2,1200,2158.46118164063
2016.06,Business analyst,Middle,4,1.5,1600,2158.46118164063
2016.06,Business analyst,Middle,3,0.5,720,2158.46118164063
2016.06,Business analyst,Senior,6,3,2000,2158.46118164063
2016.06,Business analyst,Middle,4,0.5,2000,2158.46118164063
2016.06,Business analyst,Middle,5,1.5,1800,2158.46118164063
2016.06,Business analyst,Middle,2,0.5,1150,2158.46118164063
2016.06,Business analyst,Middle,3,0.25,605,2158.46118164063
2016.06,Business analyst,Middle,3,3,1500,2158.46118164063
2016.06,Business analyst,Middle,5,5,600,2158.46118164063
2016.06,Business analyst,Lead,8,8,3300,2158.46118164063
2016.06,Business analyst,Middle,2,2,400,2158.46118164063
2016.06,Business analyst,Middle,3,3,440,2158.46118164063
2016.06,Business analyst,Senior,7,2,3000,2158.46118164063
2016.06,Business analyst,Senior,6,4,1600,2158.46118164063
2016.06,Business analyst,Middle,2,меньше 3 месяцев,480,2158.46118164063
2016.06,Business analyst,Middle,3,1,1400,2158.46118164063
2016.06,Business analyst,Middle,5,4,560,2158.46118164063
2016.06,Business analyst,Middle,3,3,520,2158.46118164063
2016.06,Business analyst,Senior,6,6,720,2158.46118164063
2016.06,Business analyst,Middle,5,5,440,2158.46118164063
2016.12,Business analyst,Senior,6,4,1300,2158.46118164063
2016.12,Business analyst,Junior,1.5,1.5,550,2158.46118164063
2016.12,Business analyst,Middle,4,4,3000,2158.46118164063
2016.12,Business analyst,Middle,4,0.5,1900,2158.46118164063
2016.12,Business analyst,Middle,3,3,430,2158.46118164063
2016.12,Business analyst,Junior,0.5,0.5,650,2158.46118164063
2016.12,Business analyst,Middle,2,2,1700,2158.46118164063
2016.12,Business analyst,Middle,5,2,2600,2158.46118164063
2016.12,Business analyst,Middle,2,2,1378,2158.46118164063
2016.12,Business analyst,Senior,7,2,1400,2158.46118164063
2016.12,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,400,2158.46118164063
2016.12,Business analyst,Lead,10 и более лет,0.25,3200,2158.46118164063
2016.12,Business analyst,Junior,0.5,0.5,100,2158.46118164063
2016.12,Business analyst,Junior,0.25,0.25,1000,2158.46118164063
2016.12,Business analyst,Middle,5,0.5,2000,2158.46118164063
2016.12,Business analyst,Middle,5,1.5,2000,2158.46118164063
2016.12,Business analyst,Senior,7,1.5,2100,2158.46118164063
2016.12,Business analyst,Lead,9,1.5,1450,2158.46118164063
2016.12,Business analyst,Middle,4,0.25,925,2158.46118164063
2016.12,Business analyst,Junior,1.5,1.5,1900,2158.46118164063
2016.12,Business analyst,Middle,3,0.5,1000,2158.46118164063
2016.12,Business analyst,Middle,3,1.5,1100,2158.46118164063
2016.12,Business analyst,Junior,1,0.5,1000,2158.46118164063
2016.12,Business analyst,Middle,3,1.5,2000,2158.46118164063
2016.12,Business analyst,Lead,8,0.25,2000,2158.46118164063
2016.12,Business analyst,Middle,3,3,650,2158.46118164063
2016.12,Business analyst,Junior,0.5,0.5,900,2158.46118164063
2016.12,Business analyst,Junior,0.5,3,1520,2158.46118164063
2016.12,Business analyst,Middle,4,меньше 3 месяцев,2500,2158.46118164063
2016.12,Business analyst,Lead,10 и более лет,1,5000,2158.46118164063
2016.12,Business analyst,Lead,9,2,3000,2158.46118164063
2016.12,Business analyst,Senior,6,2,2500,2158.46118164063
2016.12,Business analyst,Middle,3,0.5,900,2158.46118164063
2016.12,Business analyst,Middle,3,1.5,2300,2158.46118164063
2016.12,Business analyst,Senior,7,0.5,3300,2158.46118164063
2016.12,Business analyst,Middle,4,9,2600,2158.46118164063
2016.12,Business analyst,Junior,1,меньше 3 месяцев,500,2158.46118164063
2016.12,Business analyst,Middle,2,0.5,2185,2158.46118164063
2016.12,Business analyst,Lead,8,8,700,2158.46118164063
2016.12,Business analyst,Middle,2,2,727,2158.46118164063
2016.12,Business analyst,Middle,4,1.5,1500,2158.46118164063
2016.12,Business analyst,Middle,2,0.5,2000,2158.46118164063
2016.12,Business analyst,Junior,1.5,1.5,180,2158.46118164063
2016.12,Business analyst,Junior,0.5,0.5,650,2158.46118164063
2016.12,Business analyst,Junior,1.5,1.5,900,2158.46118164063
2016.12,Business analyst,Middle,3,0.5,2000,2158.46118164063
2016.12,Business analyst,Middle,4,3,1500,2158.46118164063
2016.12,Business analyst,Middle,5,0.5,800,2158.46118164063
2016.12,Business analyst,Middle,4,1.5,945,2158.46118164063
2016.12,Business analyst,Middle,2,2,1500,2158.46118164063
2016.12,Business analyst,Middle,5,1.5,1750,2158.46118164063
2016.12,Business analyst,Lead,10 и более лет,меньше 3 месяцев,3000,2158.46118164063
2016.12,Business analyst,Middle,5,0.5,1300,2158.46118164063
2016.12,Business analyst,Junior,1,1,520,2158.46118164063
2016.12,Business analyst,Middle,3,3,400,2158.46118164063
2016.12,Business analyst,Middle,3,0.5,1500,2158.46118164063
2016.12,Business analyst,Junior,0.5,0.5,400,2158.46118164063
2016.12,Business analyst,Middle,2,2,750,2158.46118164063
2016.12,Business analyst,Junior,0.5,0.5,1600,2158.46118164063
2016.12,Business analyst,Middle,3,3,1700,2158.46118164063
2016.12,Business analyst,Junior,1,1,2300,2158.46118164063
2016.12,Business analyst,Middle,5,0.5,3000,2158.46118164063
2016.12,Business analyst,Middle,5,5,2400,2158.46118164063
2016.12,Business analyst,Middle,5,1,3150,2158.46118164063
2016.12,Business analyst,Senior,7,1,2400,2158.46118164063
2016.12,Business analyst,Junior,1.5,1,1500,2158.46118164063
2016.12,Business analyst,Junior,1.5,0.5,1000,2158.46118164063
2016.12,Business analyst,Middle,4,4,1500,2158.46118164063
2016.12,Business analyst,Middle,3,0.5,2090,2158.46118164063
2016.12,Business analyst,Lead,10 и более лет,2,1200,2158.46118164063
2016.12,Business analyst,Senior,6,4,1200,2158.46118164063
2016.12,Business analyst,Middle,3,1,1700,2158.46118164063
2016.12,Business analyst,Junior,1.5,0.5,500,2158.46118164063
2016.12,Business analyst,Middle,5,1,1400,2158.46118164063
2016.12,Business analyst,Junior,1.5,0.5,1300,2158.46118164063
2016.12,Business analyst,Middle,3,0.5,1200,2158.46118164063
2016.12,Business analyst,Junior,1.5,1,1700,2158.46118164063
2016.12,Business analyst,Middle,3,3,1100,2158.46118164063
2016.12,Business analyst,Middle,3,2,2200,2158.46118164063
2016.12,Business analyst,Junior,1,1,2100,2158.46118164063
2016.12,Business analyst,Middle,3,3,455,2158.46118164063
2016.12,Business analyst,Middle,3,1,1000,2158.46118164063
2016.12,Business analyst,Middle,5,4,2600,2158.46118164063
2016.12,Business analyst,Junior,0.5,0.5,1700,2158.46118164063
2016.12,Business analyst,Lead,9,меньше 3 месяцев,1100,2158.46118164063
2016.12,Business analyst,Senior,6,3,2635,2158.46118164063
2016.12,Business analyst,Middle,2,1,600,2158.46118164063
2016.12,Business analyst,Senior,6,3,2700,2158.46118164063
2016.12,Business analyst,Lead,10 и более лет,1,150,2158.46118164063
2016.12,Business analyst,Middle,2,1.5,1700,2158.46118164063
2016.12,Business analyst,Junior,1.5,1.5,1350,2158.46118164063
2016.12,Business analyst,Middle,2,2,2000,2158.46118164063
2016.12,Business analyst,Lead,10 и более лет,0.5,670,2158.46118164063
2016.12,Business analyst,Middle,2,2,2000,2158.46118164063
2016.12,Business analyst,Senior,6,1,650,2158.46118164063
2016.12,Business analyst,Junior,1.5,1.5,1200,2158.46118164063
2016.12,Business analyst,Senior,7,5,3500,2158.46118164063
2016.12,Business analyst,Middle,5,5,2350,2158.46118164063
2016.12,Business analyst,Middle,2,2,2000,2158.46118164063
2016.12,Business analyst,Middle,5,1,1800,2158.46118164063
2016.12,Business analyst,Middle,3,3,900,2158.46118164063
2016.12,Business analyst,Middle,5,4,3550,2158.46118164063
2016.12,Business analyst,Lead,8,3,3000,2158.46118164063
2016.12,Business analyst,Lead,9,1.5,1600,2158.46118164063
2016.12,Business analyst,Junior,1,меньше 3 месяцев,1200,2158.46118164063
2016.12,Business analyst,Junior,0.25,0.25,250,2158.46118164063
2016.12,Business analyst,Middle,4,2,1700,2158.46118164063
2016.12,Business analyst,Lead,8,4,2850,2158.46118164063
2016.12,Business analyst,Junior,1.5,меньше 3 месяцев,480,2158.46118164063
2016.12,Business analyst,Middle,2,2,800,2158.46118164063
2016.12,Business analyst,Middle,2,2,1000,2158.46118164063
2016.12,Business analyst,Middle,4,0.5,1700,2158.46118164063
2016.12,Business analyst,Middle,3,3,1500,2158.46118164063
2016.12,Business analyst,Middle,5,1,480,2158.46118164063
2016.12,Business analyst,Lead,8,меньше 3 месяцев,3500,2158.46118164063
2016.12,Business analyst,Senior,6,0.25,1400,2158.46118164063
2016.12,Business analyst,Senior,6,5,2000,2158.46118164063
2016.12,Business analyst,Middle,5,4,1300,2158.46118164063
2016.12,Business analyst,Junior,1.5,1.5,500,2158.46118164063
2016.12,Business analyst,Middle,4,2,2300,2158.46118164063
2016.12,Business analyst,Lead,10 и более лет,1.5,3600,2158.46118164063
2016.12,Business analyst,Lead,8,2,3400,2158.46118164063
2016.12,Business analyst,Middle,4,4,700,2158.46118164063
2016.12,Business analyst,Middle,2,2,1800,2158.46118164063
2016.12,Business analyst,Junior,1,меньше 3 месяцев,900,2158.46118164063
2016.12,Business analyst,Senior,6,1,4000,2158.46118164063
2016.12,Business analyst,Junior,1.5,1.5,450,2158.46118164063
2016.12,Business analyst,Junior,1,0.5,530,2158.46118164063
2016.12,Business analyst,Middle,5,3,3200,2158.46118164063
2016.12,Business analyst,Junior,1,1,650,2158.46118164063
2016.12,Business analyst,Junior,1.5,1.5,1400,2158.46118164063
2016.12,Business analyst,Middle,3,меньше 3 месяцев,1500,2158.46118164063
2016.12,Business analyst,Junior,0.25,меньше 3 месяцев,650,2158.46118164063
2016.12,Business analyst,Middle,2,0.5,800,2158.46118164063
2016.12,Business analyst,Middle,3,3,2200,2158.46118164063
2016.12,Business analyst,Middle,4,2,2000,2158.46118164063
2016.12,Business analyst,Middle,5,1,2500,2158.46118164063
2016.12,Business analyst,Lead,8,1.5,3000,2158.46118164063
2016.12,Business analyst,Junior,1,меньше 3 месяцев,1000,2158.46118164063
2016.12,Business analyst,Middle,3,1.5,380,2158.46118164063
2016.12,Business analyst,Middle,3,0.5,2500,2158.46118164063
2016.12,Business analyst,Middle,4,1,3800,2158.46118164063
2016.12,Business analyst,Junior,1,1,1540,2158.46118164063
2016.12,Business analyst,Junior,1,меньше 3 месяцев,1999,2158.46118164063
2016.12,Business analyst,Junior,1.5,меньше 3 месяцев,1800,2158.46118164063
2016.12,Business analyst,Junior,1.5,1.5,555,2158.46118164063
2016.12,Business analyst,Middle,4,4,1650,2158.46118164063
2016.12,Business analyst,Lead,8,2,2422,2158.46118164063
2016.12,Business analyst,Middle,3,0.5,2300,2158.46118164063
2016.12,Business analyst,Senior,6,0.5,2000,2158.46118164063
2016.12,Business analyst,Junior,0.5,0.5,600,2158.46118164063
2016.12,Business analyst,Middle,3,0.5,2500,2158.46118164063
2016.12,Business analyst,Middle,5,5,520,2158.46118164063
2016.12,Business analyst,Senior,6,0.5,2500,2158.46118164063
2016.12,Business analyst,Senior,6,4,3500,2158.46118164063
2016.12,Business analyst,Lead,10 и более лет,10 и более лет,259,2158.46118164063
2016.12,Business analyst,Middle,5,0.5,3400,2158.46118164063
2016.12,Business analyst,Middle,3,1,1000,2158.46118164063
2017.06,Business analyst,Middle,2,меньше 3 месяцев,700,2604.28759765625
2017.06,Business analyst,Lead,10 и более лет,0.5,3200,2604.28759765625
2017.06,Business analyst,Middle,5,2,3279,2604.28759765625
2017.06,Business analyst,Middle,4,0.5,3100,2604.28759765625
